city_name,lat,temp,humid,cloud,wind_speed
boyolangu,-8.09,293.129,94,8,1.11
gangtok,27.33,262.354,62,0,1.16
husavik,50.56,266.729,94,32,3.86
saskylakh,71.97,244.804,56,44,2.16
punta arenas,-53.16,281.67,93,90,3.1
aleppo,36.2,285.604,54,20,3.26
itoman,26.12,292.09,77,75,4.1
kutum,14.2,287.429,24,0,2.51
gap,44.56,273.079,100,80,1.26
phalodi,27.13,287.729,52,0,1.21
manihari,25.34,291.254,54,0,4.01
severo-kurilsk,50.68,265.504,100,76,2.26
laizhou,37.18,270.979,98,88,1.66
kiama,-34.67,289.15,100,75,2.1
soyo,-6.13,298.804,77,8,2.91
atasu,48.68,266.679,86,64,10.46
ostrovnoy,68.05,261.079,86,68,3.21
deputatskiy,69.3,238.929,46,20,1.16
verkhovye,52.81,263.829,90,92,5.31
darab,28.75,275.379,79,0,0.61
morehead,38.18,290.15,29,1,4.6
sheopur,25.67,286.754,58,0,1.16
bluff,-23.58,296.004,80,92,6.76
falam,22.91,285.554,77,0,0.81
petukhovo,55.06,265.804,90,80,10.31
kishtwar,33.31,268.479,45,0,1.41
plastun,44.76,256.879,55,0,2.06
samur,41.83,278.804,99,100,7.01
dimbokro,6.65,298.804,77,0,0.56
egvekinot,66.32,255.179,84,68,1.66
tuktoyaktuk,69.44,259.45,89,56,3.1
wajir,1.75,296.129,88,0,0.66
chuy,-33.69,295.229,65,0,8.41
artyom,43.36,254.15,58,0,2
chandbali,20.77,297.929,100,0,2.86
okha,53.59,255.679,85,24,7.96
luena,-11.78,293.454,70,24,1.51
provideniya,64.42,271.254,100,88,7.06
hanzhong,33.08,273.479,99,92,1.26
albanel,48.88,273.15,72,40,5.1
anjozorobe,-18.4,291.15,100,40,0.86
puerto escondido,15.86,301.15,74,20,4.1
east london,-33.02,296.179,100,92,5.86
surin,14.88,298.104,88,56,1.31
buraydah,26.33,295.15,37,0,1
wanning,48.64,273.15,98,75,0.5
orumiyeh,37.55,280.15,87,90,3.1
harper,30.3,294.16,13,1,2.1
maymyo,22.03,288.829,74,20,0.86
quzhou,28.97,280.304,100,92,2.16
lang suan,9.95,298.254,100,0,1.76
prado,-17.34,300.379,96,32,8.51
vaini,15.34,291.304,88,0,0.71
bolobo,-2.17,295.979,97,48,1.16
shwebo,22.57,293.229,80,0,3.31
kaseda,31.42,287.204,100,48,8.41
mangrol,25.33,285.554,59,0,0.56
sabang,13.72,299.204,91,92,5.16
alofi,-19.06,301.554,95,92,7.26
aksu,52.04,275.15,80,90,7
ust-barguzin,53.41,242.479,32,0,1.36
ploemeur,47.73,277.73,100,90,2.66
dindori,22.94,286.704,57,0,1.61
zhangye,38.94,269.679,79,8,1.26
tual,-5.67,298.854,100,92,8.46
kloulklubed,7.04,299.66,83,90,2.6
nouadhibou,20.93,292.15,82,0,8.2
akhmim,26.56,291.204,52,0,1.16
taoudenni,22.68,294.104,38,0,2.96
alibag,18.64,302.15,45,40,1.5
mehran,33.12,285.15,54,0,2.1
sarahan,31.51,254.704,81,0,0.76
kamaishi,39.28,264.679,92,0,2.01
yeniseysk,58.45,257.854,78,8,3.21
saint-francois,46.42,280.15,75,32,5.7
pingliang,35.54,272.879,99,32,1.06
jhinjhak,26.58,290.954,46,0,2.91
arman,59.7,257.15,71,40,5
muriwai beach,-36.82,295.15,83,80,4.6
yulara,-25.24,292.15,32,0,3.6
tongliao,43.61,258.204,60,88,4.36
constitucion,23.99,297.15,16,40,1.5
baruun-urt,46.68,255.204,69,0,4.56
honiara,-9.43,296.15,100,40,1
meiganga,6.52,294.104,51,36,1.66
pasarkemis,-6.17,299.804,99,12,3.76
harij,23.69,293.429,28,0,1.31
yamada,36.58,274.15,50,40,8.7
omboue,-1.57,301.129,100,20,3.96
sibolga,1.74,293.354,100,80,1.16
kysyl-syr,63.9,245.354,52,48,1.96
bundaberg,-24.87,298.579,100,92,10.51
tasiilaq,65.61,263.15,61,40,1
puro,13.13,297.004,98,76,1.86
tanout,14.97,294.679,14,0,3.46
valentin gomez farias,24.05,297.15,16,40,1.5
sribne,50.66,267.854,90,48,6.06
yanam,16.73,294.479,85,0,2.06
dicabisagan,17.08,296.429,100,88,2.76
kencong,-7.78,293.129,94,8,1.11
lodhran,29.54,292.879,62,0,1.36
zhezkazgan,47.8,264.929,81,56,8.96
dali,25.6,280.804,100,56,1.06
cherskiy,68.75,243.604,31,36,1.06
cape town,-33.93,291.15,88,0,7.2
bajil,38.23,280.854,70,0,5.21
yilan,24.75,291.15,82,75,8.2
labytnangi,66.66,262.429,83,80,9.11
bandar-e lengeh,26.56,295.079,100,0,3.66
podor,16.65,303.229,17,0,4.56
victoria,5.28,300.66,88,75,4.1
kirovskiy,45.09,248.754,58,0,1.06
marzuq,14.4,287.504,39,0,2.61
tottori,35.5,273.804,100,20,3.51
rumoi,43.93,268.129,86,76,5.21
vostok,46.45,250.554,63,0,1.16
yoichi,43.19,267.979,100,56,6.41
anadyr,64.73,265.15,92,90,4
madison,43.07,274.27,86,90,5.7
hudiksvall,61.73,270.179,100,88,4.46
dikson,73.51,251.229,78,44,5.11
khor,47.88,251.204,63,0,3.16
gediz,38.99,278.704,93,24,2.01
yerbogachen,61.28,250.429,65,48,1.31
palana,59.08,264.129,76,76,3.11
huilong,28.89,275.954,100,92,1.71
kagadi,0.95,297.129,98,68,2.86
sjovegan,68.87,263.69,56,40,6.2
cabedelo,-6.97,302.15,74,40,5.1
lyangasovo,58.52,257.104,74,20,6.21
ushtobe,45.25,278.254,92,76,3.91
sorland,67.67,268.15,53,75,4.6
leningradskiy,69.38,254.904,100,68,2.41
rawson,-43.3,298.15,78,40,5.7
padampur,29.71,291.354,74,12,1.36
minab,27.15,292.15,82,0,2.1
chumikan,54.72,252.854,40,0,4.76
romanovka,51.74,258.079,69,76,2.51
alyangula,-13.85,302.054,100,36,4.36
gamba,28.28,254.679,75,20,2.31
umea,63.83,264.15,92,90,1
alice springs,-23.7,290.15,21,0,2.1
umm kaddadah,13.6,290.554,22,0,2.11
dandong,40.12,261.804,58,68,1.11
mikhaylovka,52.96,251.204,74,0,3.01
ushibuka,32.19,280.629,100,64,2.96
